형용사
가까운
가능하다는
가벼운
강하다는
강화하는
같은
검은
곧은
괴로워하는
그렇다고는
기대하는
깊은
날카로운
낮은
넓은
높다는
높은
느리는
단순하다는
단순하지만은
당하는
동일하지는
두꺼운
두려운
뜨거운
만족스러운
많게는
많은
멀다는
명확하다는
무거운
미치는
부드러운
부족하다는
불가능하다는
붉은
상당하는
새로운
성스러운
성하는
수많은
쉬운
싫어하는
아닌지는
아름다운
알맞은
어려운
어렵다는
없는
없다는
없이는
원하는
유익하다는
있는
있는지는
있다는
있어서는
있었는
있을지는
자세하게는
자연스러운
작은
젊은
좁은
좋아하는
좋은
중요하다는
즐거운
즐겁지는
짧게는
짧은
차가운
폭넓은
필요하다는
해로운
행복해지는
화하는
회복하는
